Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:06:08,-760.278137,1253.604492,772.892334,0.310587,0.638039,0.622983,-0.329143,2.73,113.0
1900-01-01T21:06:09,-664.457397,1239.620728,751.600586,0.332460,0.613343,0.630778,-0.339706,2.86,99.0
1900-01-01T21:06:10,-600.511597,1182.399170,718.029602,0.318255,0.580716,0.667950,-0.339596,2.02,67.0
1900-01-01T21:06:11,-671.363281,1144.658691,738.115662,0.149719,0.616590,0.741373,-0.218556,2.46,29.0
1900-01-01T21:06:12,-730.865417,1168.040771,745.142883,-0.049080,0.636522,0.769376,0.022164,2.41,12.0
1900-01-01T21:06:13,-799.399109,1174.543091,732.914001,-0.280322,0.607236,0.702850,0.242252,2.06,358.0
1900-01-01T21:06:14,-803.755493,1179.584351,725.138367,-0.333773,0.579595,0.644574,0.370391,1.77,336.0
1900-01-01T21:06:15,-866.558105,1215.716064,707.526611,-0.483333,0.496369,0.544100,0.473247,2.21,333.0
1900-01-01T21:06:16,-840.268921,1210.130981,700.487976,-0.476046,0.472609,0.511387,0.537126,2.74,327.0
1900-01-01T21:06:17,-759.721985,1194.754761,736.766968,-0.438474,0.470814,0.500305,0.579456,3.37,330.0
1900-01-01T21:06:18,-838.239014,1184.093628,703.737976,-0.545537,0.427342,0.455174,0.559093,3.41,316.0
1900-01-01T21:06:19,-883.123047,1150.572021,724.096924,-0.568417,0.397768,0.421212,0.584177,3.09,320.0
1900-01-01T21:06:20,-899.176392,1108.119019,769.725952,-0.551519,0.338032,0.398368,0.650280,1.79,332.0
1900-01-01T21:06:21,-1025.655884,1107.198242,829.976318,-0.529622,0.360131,0.405058,0.652483,2.95,325.0
1900-01-01T21:06:22,-1164.639038,1112.323853,830.239258,-0.544713,0.357991,0.389381,0.650779,3.24,352.0
1900-01-01T21:06:23,-1304.831909,1050.370117,852.119324,-0.530921,0.356822,0.393838,0.660071,2.12,316.0
1900-01-01T21:06:24,-1344.216187,984.479309,883.549988,-0.549371,0.354852,0.387178,0.649896,2.65,329.0
1900-01-01T21:06:25,-1283.474976,1106.373291,919.814087,-0.542048,0.376416,0.407327,0.631332,2.64,320.0
1900-01-01T21:06:26,-1290.262329,1232.990601,956.667053,-0.535164,0.403332,0.423802,0.609357,4.72,310.0
1900-01-01T21:06:27,-1400.960693,1247.679688,959.095459,-0.571926,0.349815,0.377069,0.639022,0.79,314.0
1900-01-01T21:06:28,-1378.421631,1158.451660,926.169189,-0.590513,0.316549,0.347152,0.656184,1.58,336.0
1900-01-01T21:06:29,-1486.520996,1113.913330,939.785095,-0.557593,0.343991,0.353446,0.667709,3.71,318.0
1900-01-01T21:06:30,-1684.918335,1111.236816,1006.782532,-0.553775,0.327318,0.365458,0.672783,3.69,306.0
1900-01-01T21:06:31,-1802.864014,1115.190186,1030.482178,-0.556822,0.326093,0.368832,0.669011,3.18,301.0
